epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.25034,2.10932,3.32281,2.45219,0.0025,0.75,0.01079,0.00353,2.74769,3.94001,3.1057,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
2,4.75287,1.94668,3.06883,2.19659,0.0025,0.75,0.01082,0.00309,2.80684,4.13326,3.117,0.00160396,0.000534654,0.00160396,0.000534654,0.00160396,0.000534654,0.00160396,0.000534654
3,6.02868,1.85313,3.04228,2.19096,0.00292,0.875,0.01701,0.00468,2.57913,3.86202,3.13776,0.00241129,0.000803764,0.00241129,0.000803764,0.00241129,0.000803764,0.00241129,0.000803764
4,7.24927,1.61207,3.39978,1.97383,0.00292,0.875,0.02197,0.01008,2.35039,4.14686,2.79894,0.00320199,0.00106733,0.00320199,0.00106733,0.00320199,0.00106733,0.00320199,0.00106733
5,8.38653,1.56891,2.82644,1.9754,0.0025,0.75,0.06479,0.02096,2.29527,4.17545,2.65441,0.00397606,0.00132535,0.00397606,0.00132535,0.00397606,0.00132535,0.00397606,0.00132535
6,9.63297,1.41869,2.9155,1.91326,0.00292,0.875,0.13202,0.05056,2.01728,3.73332,2.39977,0.00473349,0.00157783,0.00473349,0.00157783,0.00473349,0.00157783,0.00473349,0.00157783
7,10.7143,1.2435,2.74399,1.70445,0.00292,0.875,0.16794,0.07164,1.98102,3.92148,2.39175,0.00547429,0.00182476,0.00547429,0.00182476,0.00547429,0.00182476,0.00547429,0.00182476
8,11.8786,1.29279,2.66469,1.76165,0.00292,0.875,0.25004,0.16235,1.79695,3.38573,2.26422,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,13.0647,1.21544,2.64882,1.64588,0.0109,1,0.39353,0.19096,1.80295,3.28248,2.22255,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,14.3478,1.22003,2.50836,1.6881,0.52238,0.25,0.43564,0.21334,1.82416,3.23492,2.16362,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,15.4618,1.2638,2.4289,1.66504,0.41764,0.375,0.39842,0.20241,1.89126,3.15875,2.21948,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,16.6134,1.1793,2.24777,1.59616,0.6989,0.58462,0.64899,0.30715,1.61707,2.72063,1.92748,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,17.7803,1.23427,2.2173,1.62568,0.75445,0.5,0.55967,0.29274,1.64103,2.90087,2.01832,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,18.9022,1.19349,2.07819,1.55963,0.7533,0.5,0.60649,0.30757,1.48101,2.9479,1.89721,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,19.9937,1.22197,2.00804,1.62292,0.86869,0.5,0.67781,0.28332,1.78079,2.91861,2.32546,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,21.1509,1.14915,1.83757,1.54766,0.95866,0.5,0.62195,0.2978,1.75401,2.55773,2.27463,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
